iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
0,100.0,0.00015814806,3.0159938,-0.1118911,150.68796,30148.65,1.7256463,0.00015614835,-0.99989593,1.7220134,4.746804714202881
100,105.101,0.00017014622,2.9718165,0.0642718,156.23488,32823.582,1.724737,0.00017122224,-0.99988586,1.720552,7.552192211151123
200,110.4622,0.00020415963,2.974243,0.20819485,164.4791,36277.574,1.7235034,0.0001960966,-0.9998693,1.7185762,8.843904733657837
300,116.09688,0.00022076303,2.933734,0.40614912,170.70503,39537.195,1.7224015,0.00022263137,-0.9998516,1.7168251,10.125500679016113
400,122.018974,0.00026691097,2.9146917,0.5870033,178.41112,43376.312,1.7208626,0.00026718655,-0.9998219,1.71441,11.41767406463623
500,128.24316,0.0003242073,2.888346,0.8411427,186.04677,47495.14,1.7194462,0.00031608634,-0.9997893,1.7122109,12.726839542388916
600,134.78485,0.0003907003,2.9110355,1.116949,197.29909,52854.35,1.7174741,0.00039194716,-0.9997387,1.7091966,14.03280758857727
700,141.66023,0.0004978255,2.9334073,1.5270746,209.30115,58854.04,1.7156547,0.00047389526,-0.9996841,1.7064667,15.324861288070679
800,148.8863,0.0005824979,2.8835893,1.9087843,216.57285,63872.97,1.713146,0.00060501863,-0.99959666,1.7027704,16.67031764984131
900,156.481,0.0007337557,2.838122,2.3919053,224.44872,69476.63,1.7108378,0.0007463197,-0.9995025,1.6994357,18.0523579120636
1000,164.4631,0.0009614477,2.8706126,3.0362232,239.09212,77569.44,1.7076874,0.0009825857,-0.99934494,1.6949733,19.400628566741943
1100,172.85236,0.0012777167,2.82549,3.7825665,247.98015,84391.44,1.7047895,0.0012380043,-0.99917465,1.6909391,20.703776597976685
1200,181.66954,0.001662419,2.816408,4.545374,260.3748,92842.29,1.7007684,0.0016653069,-0.9988898,1.6854626,22.011181592941284
1300,190.9365,0.0021745863,2.7525094,5.4973783,268.2768,100306.8,1.6970689,0.002145744,-0.9985695,1.6805025,23.36937379837036
1400,200.67616,0.0030010298,2.7406228,6.464147,281.45596,110215.625,1.6918789,0.0029715968,-0.9980189,1.673682,24.711212396621704
1500,210.91264,0.0040959762,2.7227738,7.743391,294.88116,121065.19,1.6871792,0.003928593,-0.9973809,1.6676289,26.06552219390869
1600,221.67131,0.0056130476,2.6688735,8.811036,304.623,130945.0,1.680732,0.005663171,-0.9962246,1.6595756,27.421541452407837
1700,232.97874,0.007829558,2.6490452,10.2360525,318.8295,143718.3,1.6747991,0.0077637853,-0.9948242,1.6524897,28.75191831588745
1800,244.86299,0.012034478,2.5754268,11.243939,326.5693,154177.62,1.6666319,0.011844521,-0.99210364,1.6435055,30.07493257522583
1900,257.35345,0.018682448,2.5559008,12.702386,341.60602,169197.14,1.6596541,0.017019311,-0.9886538,1.6370214,31.352067470550537
2000,270.48108,0.02488823,2.442951,13.468733,343.87964,178445.64,1.6509126,0.027499355,-0.9816671,1.6319363,32.67734694480896
