iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
0,100.0,0.0001522,2.9637504,148.18767,1.7150981,0.00015305026,-0.99989796,1.7149432,4.129956245422363
100,164.4631,0.00018667718,2.996975,246.44609,1.7194705,0.00018826815,-0.9998745,1.7293782,7.609996557235718
200,270.48108,0.0002616555,2.954867,399.61807,1.7144412,0.00026349103,-0.99982435,1.7239252,9.841820478439331
300,444.84167,0.00039612764,2.8874888,642.23804,1.7204304,0.00041569263,-0.9997229,1.7135187,12.140767574310303
400,731.6004,0.0007279526,2.8386202,1038.3685,1.7227417,0.00071913836,-0.9995206,1.7093371,14.529542446136475
500,1203.2126,0.0013060631,2.7956724,1681.8955,1.7284434,0.0013393664,-0.99910706,1.7112031,16.681507110595703
600,1978.841,0.002725359,2.6654768,2637.28,1.6974566,0.002702202,-0.9981985,1.6893471,18.859803915023804
700,3254.463,0.0053726635,2.5946524,4222.1055,1.7168976,0.005869274,-0.99608713,1.6981463,21.066331386566162
800,5042.195,0.014067563,2.4594412,6200.505,1.7108129,0.013950855,-0.9906994,1.6975088,23.19954824447632
900,5042.195,0.035473343,2.2859898,5763.2383,1.7226135,0.0337753,-0.97748315,1.7207167,25.321569204330444
1000,5042.195,0.082469985,2.0438802,5152.904,1.7183559,0.083880655,-0.9440796,1.7823141,27.4799644947052
1100,5042.195,0.19643489,1.7911202,4515.7847,1.7838293,0.2191706,-0.85388625,1.9514571,29.599841833114624
1200,5042.195,0.44532526,1.5541881,3918.705,1.8936926,0.49540967,-0.66972685,2.319701,31.862202644348145
1300,5042.195,0.7500179,1.428124,3601.1897,2.039017,0.80818677,-0.46120882,2.6043391,33.981895208358765
1400,5042.195,1.1038164,1.2599913,3177.6646,2.1747377,1.1076796,-0.2615469,3.0431402,36.13364934921265
1500,5042.195,1.3221514,1.1991282,3024.4412,2.2536693,1.3993965,-0.067068994,2.9072878,38.270809173583984
1600,5042.195,1.8392646,1.0473086,2642.2063,2.446202,1.7394285,0.15961897,3.388311,40.409940242767334
1700,5042.195,2.3974738,0.97227746,2453.6038,2.6411328,2.065918,0.3772787,3.3514748,42.64980936050415
1800,5042.195,2.5077214,0.8549675,2157.964,2.6474779,2.3805816,0.5870544,3.6702917,44.85731053352356
1900,5042.195,2.7006693,0.7238285,1827.5428,2.6920328,2.7375948,0.8250632,3.8494701,47.12971901893616
2000,5042.195,3.3529887,0.6546597,1653.8138,2.892601,3.135421,1.0902808,3.9454503,49.414851903915405
2100,5042.195,3.5495334,0.5824582,1471.9834,2.9318478,3.48298,1.3219867,4.021102,51.61981391906738
2200,5042.195,4.1886597,0.49408463,1249.8242,3.114984,3.8577976,1.5718651,4.2654004,53.869617223739624
2300,5042.195,4.239747,0.4677619,1183.5131,3.1063907,4.1562166,1.7708111,4.379898,56.10496735572815
2400,5042.195,4.497046,0.42545468,1077.1097,3.1664958,4.422088,1.9480588,4.423134,58.399834394454956
2500,5042.195,4.8075857,0.37179187,942.1311,3.2423458,4.6214414,2.080961,4.388172,60.67328953742981
2600,5042.195,4.7744784,0.31823066,807.06494,3.211177,4.784647,2.1897647,4.3710637,62.956794023513794
2700,5042.195,4.9568677,0.28720006,729.0162,3.239079,4.8839064,2.2559376,4.367953,65.2996199131012
2800,5042.195,5.314082,0.2892105,734.44196,3.326011,4.9717846,2.314523,4.430747,67.58531022071838
2900,5042.195,4.97079,0.24409954,620.3695,3.2023156,5.024889,2.349926,4.4271517,69.93986320495605
3000,5042.195,5.073009,0.23457679,596.4639,3.2023437,5.00961,2.33974,4.347543,72.24203968048096
3100,5042.195,4.7174425,0.21218705,539.6617,3.0816758,4.992419,2.3282793,4.301187,74.59992980957031
3200,5042.195,4.8256664,0.19683278,501.06024,3.1040092,4.9601374,2.3067582,4.299406,76.96483778953552
3300,5042.195,4.814835,0.18425027,469.32773,3.067102,4.916421,2.2776139,4.1562,79.30983090400696
3400,5042.195,4.6560693,0.17819133,453.89377,3.0068269,4.854386,2.2362573,4.1222215,81.66178917884827
3500,5042.195,4.9797025,0.16033913,409.21027,3.1064038,4.787009,2.1913393,4.0644736,84.02284693717957
3600,5042.195,4.707865,0.14862189,379.3981,2.9952188,4.7192903,2.1461935,3.9998102,86.70003461837769
3700,5042.195,4.6977644,0.14319484,365.7059,2.9730775,4.6493955,2.099597,3.9437027,89.21489644050598
3800,5042.195,4.6054068,0.13007838,332.54565,2.934593,4.5515203,2.0343468,3.8300362,91.87986183166504
3900,5042.195,4.346095,0.13223486,337.72305,2.8372374,4.4745216,1.9830143,3.8059275,94.53982877731323
4000,5042.195,4.343113,0.11678911,298.77985,2.8213656,4.3911715,1.9274476,3.6876233,97.02981758117676
4100,5042.195,4.387109,0.10872183,278.48544,2.8245852,4.2962575,1.8641717,3.6085584,99.49983930587769
4200,5042.195,4.228417,0.097806446,250.808,2.7600281,4.2184615,1.8123076,3.47522,101.90487957000732
4300,5042.195,4.0873575,0.09940846,254.70578,2.6902413,4.111243,1.7408285,3.4524236,104.30984210968018
4400,5042.195,3.900841,0.08870966,227.54654,2.6098735,4.028094,1.685396,3.3905675,106.69985485076904
4500,5042.195,3.9533277,0.08685907,222.9335,2.6150465,3.9370239,1.6246827,3.3194573,109.03982257843018
4600,5042.195,3.7215476,0.074154295,190.67174,2.5128458,3.8251991,1.5501328,3.2011414,111.46983170509338
4700,5042.195,3.679393,0.07964732,204.47804,2.4644911,3.7360382,1.4906921,3.096977,113.82982039451599
