iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective-error,constraint-error,runtime
0,100.0,0.048961394,3.1825875e-06,-1.8939023e-05,0.049101584,0.021533888,0.0011971357,0.22027113,0.00022905853,4.7199578285217285
100,105.101,0.03831498,2.9826952e-06,7.1373164e-05,0.038543094,0.02763254,0.0015728561,0.20141843,0.00014762601,6.750956058502197
200,110.4622,0.030894918,2.6499742e-06,-5.443707e-06,0.031035835,0.026573956,0.0011613842,0.17990217,0.0002005983,8.129945278167725
300,116.09688,0.026652645,2.9662722e-06,9.601531e-05,0.026920848,0.03634375,0.0014131912,0.16340138,0.00012303115,9.509978294372559
400,122.018974,0.021904983,3.1999446e-06,6.853698e-05,0.022168746,0.04836351,0.001315891,0.14561535,0.00017640353,10.889945030212402
500,128.24316,0.018407302,3.8324606e-06,7.98474e-05,0.018732892,0.06264873,0.0014467882,0.13381164,0.00018474094,12.213455438613892
600,134.78485,0.014645149,5.117302e-06,6.6012915e-05,0.015056029,0.08405267,0.0017141064,0.12381848,0.00015128938,13.560173749923706
700,141.66023,0.014119013,5.4127217e-06,0.000119016455,0.014621413,0.10280853,0.0017910085,0.11849513,0.00024968258,14.949979543685913
800,148.8863,0.01373033,5.239516e-06,0.00010659454,0.014226971,0.11513621,0.0017486507,0.11511993,0.00023462085,16.339959621429443
900,156.481,0.013337228,5.47167e-06,0.00014026249,0.013905597,0.12749873,0.0017441141,0.11340616,0.00016323288,17.721977949142456
1000,164.4631,0.012942541,4.74996e-06,0.00011524992,0.013448388,0.12325051,0.0016316768,0.112435006,0.00014742068,19.094067335128784
1100,172.85236,0.01294441,3.9217293e-06,0.00018494535,0.013468295,0.11222702,0.0015272261,0.111660354,0.00019353718,20.511139631271362
1200,181.66954,0.012016614,3.2928638e-06,0.00013765025,0.012453371,0.097587585,0.0014314558,0.1108071,0.00017980342,21.879950046539307
1300,190.9365,0.011953835,2.4793337e-06,0.00014641575,0.012336949,0.08840479,0.0012184569,0.11013115,0.00013962103,23.299981832504272
1400,200.67616,0.012250058,1.9816698e-06,0.00012831143,0.012577207,0.07968347,0.0011321494,0.109157234,0.00012869936,24.733766078948975
1500,210.91264,0.01222423,1.4746423e-06,0.00012354011,0.01250328,0.06395377,0.00092345383,0.10837567,7.016649e-05,26.121454000473022
1600,221.67131,0.012322894,1.0050917e-06,8.894835e-05,0.012523242,0.052003033,0.0008261665,0.107295945,7.6502045e-05,27.479940176010132
1700,232.97874,0.011742414,6.863769e-07,6.4632804e-05,0.011887003,0.036693994,0.000649292,0.10636686,3.1304222e-05,28.793193578720093
1800,244.86299,0.010909125,4.9152004e-07,2.6650232e-05,0.010995953,0.029719021,0.00059288077,0.105097786,3.4981298e-05,30.114187240600586
1900,257.35345,0.010869532,3.2279343e-07,-4.9251656e-07,0.010910575,0.020911014,0.00046093305,0.10399766,1.2426782e-05,31.489983558654785
2000,270.48108,0.0103748385,2.4171862e-07,-3.476958e-05,0.010372759,0.017332543,0.0003798423,0.10249156,2.9286319e-05,32.82422161102295
2100,284.27832,0.010269529,2.2823237e-07,-5.1566418e-05,0.010250404,0.018301735,0.00035670586,0.10109004,3.6714388e-05,34.2260799407959
2200,298.7794,0.010289803,2.5115125e-07,-7.029746e-05,0.010257025,0.019460551,0.00038041553,0.09920664,4.6737765e-05,35.599953174591064
2300,314.02014,0.009436143,2.5329453e-07,-7.505445e-05,0.009400858,0.024492959,0.0003315073,0.097559266,6.3814026e-05,36.98318934440613
2400,330.0383,0.0086932955,9.673164e-07,-0.00017216092,0.00868076,0.043840967,0.0008192976,0.09549511,0.00013219076,38.36000919342041
2500,346.87357,0.008908578,3.6151027e-07,-6.751318e-05,0.008903764,0.03463208,0.00039184603,0.09362486,9.216792e-05,39.78998255729675
2600,364.5676,0.008078149,9.5055407e-07,-9.426415e-05,0.0081571555,0.10710789,0.0008272878,0.091023274,7.2573675e-05,41.17199492454529
2700,383.16418,0.007968023,3.9837667e-07,-6.664248e-05,0.007977703,0.058008295,0.0003745535,0.08890805,9.7741446e-05,42.580029010772705
2800,402.7094,0.007504666,4.312197e-07,-6.3549385e-05,0.007527945,0.068772,0.0003915371,0.08599051,0.00010673164,43.9699764251709
2900,423.25162,0.0070619117,4.3498585e-07,-5.30937e-05,0.007100872,0.077343926,0.0003888398,0.083383,0.000106945925,45.36996555328369
3000,444.84167,0.006154318,4.9882885e-07,-4.9682734e-05,0.006215585,0.09733421,0.0004117849,0.07999638,0.000113624505,46.7600040435791
3100,467.53302,0.0059573287,5.0721013e-07,-4.4110875e-05,0.0060317866,0.110122696,0.00041952674,0.07703322,0.00011826372,48.169997453689575
3200,491.38187,0.00527648,5.9971995e-07,-3.6825055e-05,0.0053870007,0.14321312,0.00046362847,0.07302934,0.00011938311,49.63181781768799
3300,516.44727,0.0047122794,6.1571967e-07,-3.427591e-05,0.004836997,0.16371362,0.00046617875,0.06957778,0.00012739433,50.99997353553772
3400,542.79126,0.004216435,6.28654e-07,-2.7869191e-05,0.0043591796,0.18331867,0.00047236652,0.06510053,0.0001269367,52.320068359375
3500,570.47906,0.0039529977,6.877633e-07,-2.6048632e-05,0.004123126,0.22094162,0.00050446484,0.061324563,0.00013364703,53.65002489089966
3600,599.57916,0.0032087234,6.3543683e-07,-1.7769444e-05,0.0033814514,0.22705191,0.00047437495,0.056397554,0.00012502667,54.98005795478821
3700,630.1637,0.0027125916,6.641892e-07,-1.203453e-05,0.002909831,0.2630773,0.00048448014,0.05235016,0.00012333826,56.30009126663208
3800,662.3083,0.0022522297,6.681995e-07,-8.303669e-06,0.0024652032,0.2917683,0.0004923793,0.047379974,0.00012297892,57.68998956680298
3900,696.0927,0.0018427192,6.538909e-07,-3.5509552e-06,0.0020667526,0.31622118,0.00046995952,0.043577168,0.00011744198,59.12016844749451
4000,731.6004,0.0014783313,6.332272e-07,-8.267447e-07,0.0017091392,0.33579835,0.00046267215,0.038948473,0.00010886819,60.56999373435974
4100,768.9193,0.0012467587,6.255816e-07,3.3124784e-06,0.0014905821,0.36933014,0.00045665103,0.03520513,0.00010758423,62.014039278030396
4200,808.1419,0.0010064743,6.1837807e-07,3.1757777e-06,0.0012595187,0.40112844,0.00045090707,0.03124308,0.00010574857,63.41996622085571
4300,849.36523,0.0007433265,5.673696e-07,4.777912e-06,0.0009890564,0.40905565,0.00042938534,0.028402558,9.443564e-05,64.84003376960754
4400,892.69135,0.0006891394,5.655914e-07,4.2810952e-06,0.0009458698,0.45010322,0.0004157467,0.025608115,8.6869346e-05,66.28288173675537
4500,938.2275,0.0005514835,5.6994315e-07,2.9400583e-06,0.0008217917,0.5010863,0.00041263428,0.023758445,8.1115e-05,67.72001647949219
