iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
0,100.0,6.3692703,11.699051,-2.6552877,588.6665,116276.52,3.4534845,6.3741384,-0.5580758,3.4567869,1.4567384719848633
100,105.101,6.8024473,8.868559,-0.46451128,472.38513,97759.36,2.9934683,6.8057947,-0.52814865,3.0025673,1.856964349746704
200,110.4622,7.5686636,5.9508996,0.74400944,336.9874,72097.96,2.4739063,7.5816345,-0.47435904,2.4889126,2.1210687160491943
300,116.09688,8.284539,4.544466,1.7386729,273.8224,61108.2,2.0889506,8.288936,-0.42532128,2.1069865,2.3771374225616455
400,122.018974,9.129838,2.8027327,1.8993862,182.0225,41408.383,1.6810188,9.142624,-0.36613435,1.6996764,2.6669929027557373
500,128.24316,9.773834,2.1606588,2.1793,150.498,35449.36,1.4123318,9.777656,-0.32210708,1.4290583,2.9470298290252686
600,134.78485,10.449875,1.4239104,1.8187199,108.22937,25699.9,1.1616938,10.459694,-0.2748208,1.1728823,3.196969985961914
700,141.66023,10.921883,0.9907152,1.445893,82.540245,19849.646,1.0216104,10.924101,-0.24262309,1.0264558,3.46067214012146
800,148.8863,11.379123,0.7612348,0.96296847,69.01081,16823.8,0.91464126,11.384428,-0.21070826,0.91082054,3.7071568965911865
900,156.481,11.646694,0.7338234,0.7975958,69.85899,17957.176,0.8687085,11.647931,-0.19243938,0.85876775,3.9569852352142334
1000,164.4631,11.894746,0.64103305,0.459897,65.06779,17317.285,0.83417195,11.897627,-0.17512774,0.81746405,4.192965030670166
1100,172.85236,12.034639,0.6109202,0.42715114,65.26129,18246.4,0.81546915,12.035333,-0.16558051,0.7941957,4.427061319351196
1200,181.66954,12.166043,0.5698518,0.13913839,64.06754,18787.746,0.7948361,12.167328,-0.15642917,0.7696662,4.66699481010437
1300,190.9365,12.230829,0.6171054,0.4980776,71.642876,22488.152,0.7784706,12.231525,-0.15197825,0.7507624,4.927021026611328
1400,200.67616,12.302533,0.52223194,0.2037595,64.906044,21007.365,0.75626105,12.303039,-0.14702022,0.7262689,5.196969032287598
1500,210.91264,12.363732,0.4535292,-0.037288558,60.153965,20165.549,0.7380446,12.3636265,-0.14281958,0.7062028,5.463000535964966
1600,221.67131,12.398054,0.4554904,0.2592192,63.14185,22354.012,0.7151728,12.398922,-0.14037251,0.6815983,5.721582889556885
1700,232.97874,12.466471,0.46542144,0.33557296,67.01869,25250.816,0.69624794,12.467431,-0.13562274,0.66085845,5.977212429046631
1800,244.86299,12.5562935,0.39533508,0.1412883,61.09905,23669.96,0.6750071,12.556244,-0.12946528,0.63454866,6.227034091949463
1900,257.35345,12.640117,0.374604,0.17894673,61.02188,24796.38,0.6554284,12.64025,-0.12364107,0.61208344,6.477129697799683
