iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
0,1,6.3556886,12.170577,12.440977,3.3228688,6.4629583,-0.5519178,3.323148,1.050064325
100,501,16.172295,0.011088911,18.950068,0.42840478,16.135883,0.118714094,0.09994502,1.509957552
200,1001,15.517881,0.00192448,16.481083,0.30533627,15.55831,0.07867038,0.041134313,1.816910267
300,1501,15.150942,0.001658358,16.39554,0.18044028,15.022426,0.04151714,0.030511014,2.090027094
400,2001,14.790728,0.001165164,15.956474,0.17477494,14.926889,0.034893513,0.03716342,2.390014887
500,2501,14.720205,0.00078539,15.702335,0.14008887,14.809954,0.026786327,0.026637042,2.689881325
600,3001,14.766804,0.001257532,16.65373,0.08088099,14.644922,0.015344501,0.029591676,2.980111837
700,3501,14.592771,0.001481108,17.18545,0.11950991,14.749758,0.02261281,0.03624566,3.28096199
800,4001,14.648705,0.000153175,14.955131,0.07958022,14.657987,0.016250253,0.011576365,3.559970856
900,4501,14.646034,0.000125398,14.928244,0.072923236,14.650656,0.015742064,0.010052374,3.860095739
1000,5001,1.4635773,0.000104708,1.7254006,0.06944046,14.647273,0.01550746,0.010008149,4.140079737
1100,5501,1.4650929,8.22E-05,1.6912745,0.07104492,14.66551,0.016771913,0.00883848,4.450057507
1200,6001,1.4677776,7.29E-05,1.6865611,0.06777962,14.666777,0.01685965,0.008357978,4.726530552
1300,6501,1.4574486,0.00198457,7.9082937,0.102367066,14.765927,0.023733854,0.03549648,5.039978266
1400,7001,1.4702598,5.99E-05,1.6800416,0.07054445,14.692771,0.018661857,0.006750647,5.314160347
1500,7501,1.4716233,5.25E-05,1.6684546,0.0774777,14.72233,0.020711303,0.006583715,5.616136074
1600,8001,1.4711388,5.20E-05,1.6791836,0.078233324,14.729826,0.021230936,0.006421803,5.889906645
1700,8501,1.4734814,4.28E-05,1.6554251,0.07659768,14.7300205,0.021244407,0.005940488,6.172945023
1800,9001,1.476048,0.000100049,1.9263176,0.06927035,14.713942,0.02012968,0.011679841,6.479992628
1900,9501,1.4759203,3.09E-05,1.6226223,0.08224669,14.758973,0.023251772,0.005111757,6.759939432
2000,10001,1.4761964,2.63E-05,1.6078907,0.08286503,14.7667465,0.023790717,0.004916198,7.069888353
2100,10001,1.4783297,3.15E-05,1.6359211,0.08228496,14.771347,0.024109602,0.004867777,7.349824667
2200,10001,1.4772755,2.12E-05,1.5830731,0.08323257,14.776838,0.024490356,0.004298453,7.651597738
2300,10001,1.4808779,0.000147566,2.218781,0.07678456,14.760307,0.023344278,0.008811556,7.929988861
2400,10001,1.4799174,6.63E-05,1.8115308,0.0766552,14.762938,0.02352655,0.008539867,8.339772224
2500,10001,1.4793576,2.59E-05,1.6087428,0.08035387,14.777061,0.024505854,0.005078586,8.637349367
2600,10001,1.4795783,2.41E-05,1.6001315,0.08002069,14.779247,0.024657369,0.005205301,8.949933529
2700,10001,1.477794,6.05E-05,1.7804911,0.08996672,14.811628,0.026902318,0.007924619,9.209722757
2800,10001,1.4781021,8.82E-05,1.9192712,0.091453545,14.8197155,0.027463078,0.007759379,9.509753466
2900,10001,1.4800383,1.40E-05,1.5500383,0.085242696,14.803772,0.02635765,0.003215333,9.779949188
3000,10001,1.4790053,4.55E-05,1.7067547,0.09560274,14.834137,0.028462887,0.012311558,10.06010938
3100,10001,1.4805602,1.04E-05,1.5324413,0.0852715,14.807689,0.02662921,0.002889977,10.35997796
3200,10001,1.4766201,0.000338648,3.1700292,0.091721795,14.827406,0.027996302,0.010055464,10.6300962
3300,10001,1.4814202,9.38E-06,1.5283396,0.086294554,14.815801,0.027191639,0.002791509,10.93996
3400,10001,1.4820698,1.77E-05,1.5707108,0.082441434,14.805625,0.026486158,0.003534655,11.21094751
3500,10001,1.4827302,2.08E-05,1.5867541,0.083353914,14.811611,0.026901245,0.004108602,11.47976112
3600,10001,1.4815017,8.27E-06,1.5228591,0.084729396,14.814631,0.027110577,0.002259683,11.74995732
3700,10001,1.4829373,1.61E-05,1.5633526,0.08529345,14.819626,0.02745688,0.002784305,12.06980157
3800,10001,1.4818945,8.41E-06,1.5239674,0.084151685,14.816676,0.027252316,0.002759902,12.34012413
3900,10001,1.477917,0.000274094,2.8485227,0.09540279,14.849188,0.029506445,0.012391957,12.6199348
4000,10001,1.4817208,1.27E-05,1.5453713,0.08545741,14.822596,0.027662754,0.002395513,12.9299655
4100,10001,1.4825516,8.76E-06,1.5263617,0.08776013,14.831846,0.0283041,0.002571548,13.19995928
4200,10001,1.4824895,7.20E-06,1.5184895,0.085659705,14.826574,0.027938604,0.002027898,13.50995755
4300,10001,1.4822973,8.71E-06,1.5258433,0.08463781,14.824669,0.02780652,0.002053331,13.78424239
4400,10001,1.4818934,2.70E-05,1.616921,0.08735265,14.830915,0.028239608,0.006924885,14.07975578
4500,10001,1.4822941,6.54E-06,1.5149932,0.08518204,14.826281,0.02791822,0.00231397,14.39195395
4600,10001,1.4844073,5.74E-05,1.7715372,0.081518665,14.815293,0.027156472,0.006096878,14.71661711
4700,10001,1.4824848,5.68E-06,1.5109068,0.08477126,14.826693,0.02794683,0.001879867,15.07058978
4800,10001,1.4824584,6.96E-06,1.5172455,0.08351363,14.82255,0.027659535,0.002116328,15.41004515
4900,10001,1.482779,7.89E-06,1.522224,0.08485958,14.828896,0.028099537,0.001867647,15.70982313
5000,10001,1.4826821,5.13E-06,1.5083311,0.08329283,14.82473,0.027810693,0.001810224,16.03547549
5100,10001,1.4826247,7.39E-06,1.5195905,0.0815403,14.818876,0.027404904,0.002278243,16.33199573
5200,10001,1.4825062,5.86E-06,1.5117942,0.082341395,14.821066,0.027556658,0.002749292,16.59999347
5300,10001,1.4822582,5.65E-06,1.5104887,0.08154618,14.820303,0.027503848,0.002083072,16.90992475
5400,10001,1.4842023,6.44E-05,1.8063455,0.07491713,14.798981,0.026025534,0.008933085,17.18992615
5500,10001,1.4822876,7.06E-06,1.517586,0.08156689,14.820072,0.027487755,0.002178381,17.499964
5600,10001,1.4850676,0.00017791,2.3747056,0.069332175,14.780683,0.024756908,0.014319179,17.76996255
5700,10001,1.4818796,5.37E-06,1.5087286,0.08205727,14.822306,0.027642608,0.00195763,18.08395696
5800,10001,1.4822105,9.97E-06,1.5320421,0.078699954,14.811514,0.02689445,0.002430495,18.35009408
5900,10001,1.482235,6.25E-06,1.5134991,0.080107786,14.81689,0.027267098,0.001714203,18.64995909
6000,10001,1.4817826,5.07E-06,1.5071542,0.079441644,14.814648,0.027111769,0.001547446,18.94169354
6100,10001,1.4805754,4.24E-05,1.6927286,0.086245365,14.83485,0.028512359,0.005309312,19.21223283
6200,10001,1.4820915,3.92E-06,1.501669,0.080723226,14.820065,0.027487278,0.001696922,19.51608443
6300,10001,1.4818777,4.01E-06,1.5019444,0.07836423,14.813682,0.027044773,0.002358259,19.78004742
6400,10001,1.4815077,4.87E-06,1.5058849,0.07781413,14.810627,0.026832938,0.002058326,20.09013486
6500,10001,1.4816335,1.08E-05,1.53549,0.075060226,14.801526,0.026201963,0.003927234,20.36007905
