iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
0,1.0,0.7918317,7.349789,0.0,4.4667263,1.3966676,0.55715656,0.8550417,-0.45566356,1.3966676,2.000197649002075
100,51.0,1.5954989,0.150738,0.0,5.439318,67.35025,0.98606384,1.0066218,-0.35916466,1.3205931,2.7700788974761963
200,101.0,1.5775639,0.010285712,0.0,2.0969923,3.5319152,0.1005267,1.62081,0.03183973,0.034969456,3.2382524013519287
300,151.0,1.6215428,0.0003611251,0.0,1.6488078,4.8554354,0.14147541,1.6025655,0.020224929,0.032155205,3.7799437046051025
400,201.0,1.5879345,0.0008497513,0.0,1.6733345,14.48398,0.057629485,1.6208832,0.03188634,0.072059594,4.304089546203613
500,251.0,1.6622436,0.026605748,0.0,5.001265,79.31574,0.31692684,1.4798826,-0.05787748,0.31599897,4.782070875167847
600,301.0,1.6143188,0.0015859359,0.0,1.8530022,7.003307,0.08819811,1.5940771,0.014820933,0.0232668,5.335284233093262
700,351.0,1.5817287,0.0044796523,0.0,2.3679075,33.986286,0.04831172,1.6384362,0.0430609,0.09682703,5.802255153656006
800,401.0,1.5956464,0.0003565134,0.0,1.6671274,4.013278,0.059737004,1.6012625,0.019395351,0.010008175,6.326854944229126
900,451.0,1.5962715,0.0002818925,0.0,1.6598383,10.300067,0.04093495,1.6093237,0.024527311,0.022838287,6.814115762710571
1000,501.0,1.5799317,0.0018850131,0.0,2.0521276,18.760178,0.047967814,1.6092889,0.024505138,0.037445463,7.251599550247192
1100,551.0,1.5995568,5.4395555e-06,0.0,1.6010554,1.1162595,0.03902535,1.6012536,0.019389749,0.002025879,7.714597225189209
1200,601.0,1.5912439,0.0005051489,0.0,1.7430412,16.663603,0.04893826,1.6086674,0.024109483,0.027726462,8.210107326507568
1300,651.0,1.6079417,0.00024027421,0.0,1.686151,10.470799,0.061797965,1.6075565,0.023402214,0.016084177,8.770079135894775
1400,701.0,1.6026068,3.8090824e-05,0.0,1.6159576,1.0107971,0.0566778,1.6013596,0.019457102,0.001441936,9.290011167526245
1500,751.0,1.6035852,6.6233675e-05,0.0,1.628456,10.237757,0.051958915,1.5952733,0.015582442,0.013632166,9.800266027450562
1600,801.0,1.6008277,0.000107431086,0.0,1.6438539,24.036379,0.089775085,1.6168584,0.029323936,0.030007964,10.351155281066895
1700,851.0,1.6054636,1.0858634e-05,0.0,1.6100839,2.9180996,0.07203206,1.6035191,0.020831943,0.0034290242,10.811650276184082
1800,901.0,1.5984995,0.00031948095,0.0,1.7424257,20.498932,0.08952497,1.6130205,0.026880741,0.02275131,11.33032751083374
1900,951.0,1.6043473,0.00020273926,0.0,1.7007499,3.8574333,0.08318841,1.6108938,0.025526881,0.0040561864,11.782692670822144
2000,1000.0,1.6105205,9.271919e-06,0.0,1.6151564,5.3735056,0.078874074,1.6075873,0.023421884,0.0053735054,12.340086936950684
2100,1000.0,1.5993909,0.0005387182,0.0,1.86875,26.515524,0.10052294,1.6169943,0.029410481,0.026515525,12.791476249694824
2200,1000.0,1.6185775,0.00017979824,0.0,1.7084765,14.259522,0.07948197,1.6062212,0.022552133,0.014259523,13.230082511901855
2300,1000.0,1.6117388,2.5096388e-06,0.0,1.6129936,2.7700315,0.08618207,1.6105307,0.025295734,0.0027700313,13.70508623123169
2400,1000.0,1.6084473,1.1168837e-05,0.0,1.6140317,0.89450866,0.088063784,1.6108435,0.025494814,0.0008945086,14.220121145248413
2500,1000.0,1.608884,3.0844337e-06,0.0,1.6104262,0.6554409,0.0879953,1.6096845,0.024756908,0.0006554409,14.739835262298584
2600,1000.0,1.6069713,5.594127e-06,0.0,1.6097683,2.1272218,0.08893426,1.6082541,0.023846269,0.0021272218,15.270002365112305
2700,1000.0,1.6009454,0.00054264837,0.0,1.8722695,24.584602,0.1059747,1.6148552,0.028048754,0.024584603,15.820152044296265
2800,1000.0,1.6108917,6.578126e-05,0.0,1.6437824,10.028382,0.08263074,1.606132,0.022495389,0.010028382,16.306723594665527
2900,1000.0,1.6070373,2.4924417e-05,0.0,1.6194996,2.9869847,0.0912123,1.6093142,0.024521232,0.0029869846,16.800155878067017
3000,1000.0,1.6053398,3.703217e-05,0.0,1.6238558,6.7478333,0.09383162,1.6086503,0.024098635,0.0067478335,17.310176372528076
3100,1000.0,1.6125811,0.00038098398,0.0,1.8030732,21.424614,0.076654375,1.6020664,0.019907117,0.021424614,17.80012559890747
3200,1000.0,1.6070015,1.52509065e-05,0.0,1.614627,4.789639,0.09546623,1.6091912,0.024442911,0.004789639,18.28028678894043
3300,1000.0,1.6128869,0.00030085555,0.0,1.7633147,16.802025,0.08144888,1.6038713,0.021056175,0.016802024,18.750184535980225
3400,1000.0,1.6053646,1.032688e-05,0.0,1.610528,1.8111107,0.093914315,1.6073493,0.02327025,0.0018111108,19.300111770629883
3500,1000.0,1.6090119,3.4097862e-05,0.0,1.6260608,7.7262144,0.08714583,1.6054313,0.022049308,0.0077262144,19.77210760116577
3600,1000.0,1.6056796,2.1129695e-06,0.0,1.6067361,1.4497379,0.09218762,1.6058545,0.02231872,0.0014497378,20.288338661193848
3700,1000.0,1.6052601,5.493402e-06,0.0,1.6080068,1.4753582,0.09242797,1.6063764,0.022650957,0.0014753583,20.780133724212646
3800,1000.0,1.6098132,0.0009252945,0.0,2.0724604,44.496933,0.0648425,1.5959531,0.016015291,0.04449693,21.31426239013672
3900,1000.0,1.6140709,7.053265e-05,0.0,1.6493372,6.801338,0.09335777,1.6076427,0.02345705,0.0068013384,21.770612478256226
4000,1000.0,1.61017,4.7790854e-06,0.0,1.6125596,1.7633958,0.09763577,1.609512,0.024647117,0.0017633957,22.245712757110596
4100,1000.0,1.6095266,1.4609295e-06,0.0,1.6102571,1.0033065,0.09629225,1.6094217,0.024589658,0.0010033065,22.70005464553833
4200,1000.0,1.6088587,2.3246168e-06,0.0,1.610021,1.7538917,0.095686376,1.6088551,0.02422893,0.0017538917,23.13994574546814
4300,1000.0,1.6084969,1.5429678e-06,0.0,1.6092684,1.0727607,0.09558766,1.6085402,0.02402842,0.0010727606,23.600020170211792
4400,1000.0,1.6086639,1.263606e-06,0.0,1.6092957,1.037156,0.09489211,1.6085929,0.024062037,0.0010371559,24.143749713897705
4500,1000.0,1.6079311,1.9774536e-06,0.0,1.6089199,0.88496464,0.09498723,1.6083957,0.02393651,0.00088496465,24.650150299072266
4600,1000.0,1.6072142,2.1313667e-06,0.0,1.60828,1.3655614,0.09399856,1.6071863,0.023166537,0.0013655614,25.122854471206665
4700,1000.0,1.6069722,1.287334e-06,0.0,1.6076158,0.91431886,0.09392951,1.6068952,0.022981286,0.00091431884,25.621219873428345
4800,1000.0,1.6069036,4.5536308e-07,0.0,1.6071312,1.1314075,0.09376754,1.6066066,0.022797465,0.0011314075,26.146926879882812
4900,1000.0,1.6069632,1.2112773e-06,0.0,1.6075687,0.810965,0.09336012,1.6071212,0.023125172,0.000810965,26.623110055923462
5000,1000.0,1.6057562,1.4001482e-06,0.0,1.6064563,1.1671437,0.09302211,1.6058285,0.02230215,0.0011671437,27.100112199783325
5100,1000.0,1.605641,1.931797e-06,0.0,1.606607,0.920976,0.0925016,1.6059291,0.022366166,0.00092097593,27.600171089172363
5200,1000.0,1.6050367,1.8619035e-06,0.0,1.6059676,1.209868,0.091812715,1.6051537,0.02187252,0.001209868,28.060298204421997
5300,1000.0,1.605313,5.045339e-07,0.0,1.6055652,1.4417285,0.09137496,1.6052434,0.02192974,0.0014417284,28.560158491134644
5400,1000.0,1.6047109,1.4086003e-06,0.0,1.6054152,0.9548014,0.09161096,1.6046681,0.02156341,0.0009548014,29.01220440864563
5500,1000.0,1.603891,2.5265635e-06,0.0,1.6051543,1.1302817,0.091057114,1.6041131,0.021210074,0.0011302817,29.440196990966797
5600,1000.0,1.60381,1.2489996e-06,0.0,1.6044345,1.2130036,0.09108515,1.60361,0.020889878,0.0012130036,29.90225338935852
5700,1000.0,1.6029373,1.526324e-06,0.0,1.6037005,1.2936732,0.091526255,1.6028391,0.020399094,0.0012936732,30.350220203399658
5800,1000.0,1.603385,4.7141668e-07,0.0,1.6036206,0.605201,0.090079986,1.6031684,0.020608664,0.000605201,30.799023866653442
5900,1000.0,1.6012554,4.6977643e-06,0.0,1.6036043,1.5288417,0.089854345,1.60156,0.019584775,0.0015288418,31.348204612731934
6000,1000.0,1.6016057,1.4668781e-06,0.0,1.6023391,1.3553375,0.09032288,1.601486,0.019537568,0.0013553374,31.886167287826538
6100,1000.0,1.6009562,2.8538361e-06,0.0,1.6023831,1.0326533,0.08981601,1.6010822,0.019280553,0.0010326534,32.404478788375854
