iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
0,1.0,3.1572168,0.0,3.1572168,0.09756807,3.143499,0.0006067753,0.0,1.0870561599731445
100,1.0,3.1415937,0.0,3.1415937,0.0018463816,3.1415932,1.1920929e-07,0.0,1.3380379676818848
200,1.0,3.1415932,0.0,3.1415932,0.0015218717,3.1415932,1.1920929e-07,0.0,1.4866399765014648
300,1.0,3.1415927,0.0,3.1415927,0.0011243483,3.1415927,0.0,0.0,1.6359903812408447
400,1.0,3.1415927,0.0,3.1415927,0.0009272904,3.1415927,0.0,0.0,1.7822434902191162
500,1.0,3.1415927,0.0,3.1415927,0.00089945964,3.1415927,0.0,0.0,1.925969123840332
600,1.0,3.1415927,0.0,3.1415927,0.00077832193,3.1415927,0.0,0.0,2.0665266513824463
700,1.0,3.1415927,0.0,3.1415927,0.0007897996,3.1415927,0.0,0.0,2.2029037475585938
800,1.0,3.1415927,0.0,3.1415927,0.0006454863,3.1415927,0.0,0.0,2.3414292335510254
900,1.0,3.1415927,0.0,3.1415927,0.0005927591,3.1415927,0.0,0.0,2.475708246231079
1000,1.0,3.1415927,0.0,3.1415927,0.000542154,3.1415927,0.0,0.0,2.6147072315216064
1100,1.0,3.1415927,0.0,3.1415927,0.00055681856,3.1415927,0.0,0.0,2.754262924194336
1200,1.0,3.1415927,0.0,3.1415927,0.000599447,3.1415927,0.0,0.0,2.8912394046783447
1300,1.0,3.1415927,0.0,3.1415927,0.0004767838,3.1415927,0.0,0.0,3.0324759483337402
1400,1.0,3.1415927,0.0,3.1415927,0.0004090764,3.1415927,0.0,0.0,3.1674578189849854
1500,1.0,3.1415927,0.0,3.1415927,0.0004500195,3.1415927,0.0,0.0,3.3098700046539307
1600,1.0,3.1415927,0.0,3.1415927,0.00043793928,3.1415927,0.0,0.0,3.4605464935302734
1700,1.0,3.1415927,0.0,3.1415927,0.0004192133,3.1415927,0.0,0.0,3.5988054275512695
1800,1.0,3.1415927,0.0,3.1415927,0.00027505233,3.1415927,0.0,0.0,3.7494561672210693
1900,1.0,3.1415927,0.0,3.1415927,0.00033838223,3.1415927,0.0,0.0,3.8937828540802
2000,1.0,3.1415927,0.0,3.1415927,0.00029700273,3.1415927,0.0,0.0,4.034878730773926
2100,1.0,3.1415927,0.0,3.1415927,0.000279216,3.1415927,0.0,0.0,4.176226615905762
2200,1.0,3.1415927,0.0,3.1415927,0.0002671488,3.1415927,0.0,0.0,4.318734169006348
2300,1.0,3.1415927,0.0,3.1415927,0.00029251573,3.1415927,0.0,0.0,4.468846082687378
2400,1.0,3.1415927,0.0,3.1415927,0.00020169557,3.1415927,0.0,0.0,4.633714199066162
2500,1.0,3.1415927,0.0,3.1415927,0.00023612965,3.1415927,0.0,0.0,4.78984522819519
2600,1.0,3.1415927,0.0,3.1415927,0.00020333717,3.1415927,0.0,0.0,4.942697763442993
