iteration,theta_1,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
0,1.0,0.7896209,9.605484,5.592363,0.7602103,0.84397686,-0.46270764,1.6381284,2.1539981365203857
100,51.0,1.6293188,0.022619205,2.2061086,0.24377358,1.4996051,-0.045321822,0.22976154,3.269944667816162
200,101.0,1.5663064,0.005217756,1.829803,0.037040748,1.6116713,0.026021838,0.07611476,4.157751083374023
300,151.0,1.5855665,0.00018023816,1.5991745,0.13131563,1.5628079,-0.0050855875,0.13654423,5.095573663711548
400,201.0,1.5961937,0.0004066373,1.6370608,0.04159588,1.5815558,0.0068496466,0.044879027,6.0399768352508545
500,251.0,1.5949854,2.2153345e-05,1.5977656,0.0714097,1.5942082,0.014904499,0.005420871,6.960041284561157
600,301.0,1.5945107,1.3410218e-05,1.5965289,0.08041001,1.5944332,0.015047669,0.003495583,7.870060682296753
700,351.0,1.5936205,1.0891322e-05,1.595532,0.08726566,1.5939407,0.014734149,0.0036306032,8.79999327659607
800,401.0,1.6302948,1.8011155e-05,1.633906,0.11845372,1.6262205,0.035284042,0.008101231,9.730003118515015
900,451.0,1.6209214,5.7350185e-06,1.6222147,0.13332716,1.6207572,0.03180611,0.002013959,10.65177583694458
1000,501.0,1.6151009,4.578064e-06,1.6162477,0.13408425,1.6148425,0.028040648,0.0022469498,11.620028257369995
1100,551.0,1.6104451,3.799601e-06,1.6114919,0.13264494,1.6103251,0.025164723,0.0021968554,12.54153823852539
1200,601.0,1.6353744,0.001007366,1.9380879,0.1565755,1.700733,0.08272016,0.09215639,13.403291463851929
1300,651.0,1.6318965,2.3110788e-06,1.6326487,0.13213654,1.6312134,0.03846264,0.002143649,14.330198764801025
1400,701.0,1.6230972,2.3549694e-06,1.6239226,0.135363,1.6230544,0.03326845,0.0014243633,15.269851207733154
1500,751.0,1.6174455,2.0549605e-06,1.6182171,0.13318102,1.6174664,0.029711127,0.0011273342,16.219999074935913
1600,801.0,1.6295248,0.0002887147,1.7451551,0.14210935,1.6910135,0.0765326,0.052846972,17.11015772819519
1700,851.0,1.6377327,1.4756316e-06,1.6383606,0.14032064,1.6375273,0.042482257,0.000804968,18.08982539176941
1800,901.0,1.6279949,1.4204259e-06,1.6286348,0.14148426,1.6278613,0.036328673,0.0012006431,18.970046520233154
1900,951.0,1.6214894,1.2846475e-06,1.6221002,0.13808477,1.6215566,0.032315016,0.0011000123,19.939972400665283
2000,1000.0,1.6165187,1.2199528e-06,1.6171287,0.13465217,1.6164612,0.029071093,0.0011305199,20.909969568252563
2100,1000.0,1.6152793,1.1650399e-06,1.6158619,0.13326971,1.6152014,0.028269053,0.0008039532,21.890005826950073
2200,1000.0,1.6137664,1.1683488e-06,1.6143506,0.1314323,1.6137729,0.027359724,0.0009352711,22.823309183120728
2300,1000.0,1.6120001,1.1686025e-06,1.6125844,0.13047318,1.612019,0.02624309,0.001294373,23.739858150482178
2400,1000.0,1.6104362,1.1735891e-06,1.611023,0.12922563,1.6104596,0.025250316,0.0013737021,24.63993501663208
2500,1000.0,1.6090549,1.1731772e-06,1.6096416,0.1276513,1.6090585,0.024358392,0.0013363778,25.549956798553467
2600,1000.0,1.6078084,1.1765786e-06,1.6083966,0.12655088,1.6077327,0.02351439,0.000963285,26.480052709579468
2700,1000.0,1.6065259,1.1772304e-06,1.6071146,0.12546411,1.606551,0.02276218,0.0013733698,27.389918088912964
2800,1000.0,1.6054673,1.1787475e-06,1.6060567,0.1241455,1.6053691,0.02200973,0.0013002947,28.300184726715088
2900,1000.0,1.6043828,1.1804381e-06,1.604973,0.12258556,1.6043905,0.021386743,0.0013021114,29.22002625465393
3000,1000.0,1.6032674,1.1818638e-06,1.6038584,0.12187094,1.6032789,0.020678997,0.0010911487,30.11994433403015
3100,1000.0,1.6022571,1.185239e-06,1.6028497,0.120793894,1.6022711,0.020037413,0.0010085519,31.069796323776245
3200,1000.0,1.601382,1.1829444e-06,1.6019735,0.11945174,1.6014042,0.019485593,0.00097384054,31.999969482421875
3300,1000.0,1.6003894,1.1834669e-06,1.6009811,0.11835313,1.600381,0.018834114,0.0014800188,32.929993629455566
3400,1000.0,1.5995874,1.1840722e-06,1.6001794,0.11738804,1.5995969,0.018334985,0.00097078417,33.83996772766113
3500,1000.0,1.5987232,1.1862404e-06,1.5993162,0.116509326,1.5987407,0.01778996,0.001085383,34.732356548309326
3600,1000.0,1.5979019,1.1866828e-06,1.5984952,0.11538528,1.5979074,0.017259479,0.0015087165,35.650105476379395
3700,1000.0,1.5973704,1.185726e-06,1.5979632,0.114335395,1.5972906,0.016866803,0.001218106,36.55997276306152
